Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
Cell C,$1 ,8/8/17,South Africa,Telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies"
Mia.com,$1 ,9/8/15,China,eCommerce/Marketplace,"Sequoia Capital China, ZhenFund, K2 Ventures"
iCarbonX,$1 ,4/12/16,China,Healthcare,"Tencent, Vcanbio"
Symphony Communication Services Holdings,$1 ,5/16/17,USA,Fintech,"BNP Paribas, Goldman Sachs, Google"
Age of Learning,$1 ,5/3/16,USA,Edtech,Iconiq Capital
SMS Assist,$1 ,6/13/16,USA,Internet Software & Services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
Mofang Gongyu,$1 ,4/13/16,China,Facilities,"Warburg Pincus, Aviation Industry Corporation of China"
Adaptive Biotechnologies,$1 ,1/8/15,USA,Healthcare,"Illumina, Celgene, Casdin Capital"
HuJiang,$1 ,10/29/15,China,Edtech,"China Minsheng Investment, Baidu, Wanxin Media"
Rubicon Global,$1 ,8/25/17,USA,Cleantech,"Goldman Sachs, Leonardo DiCaprio, Promecap"
YH Global,$1 ,9/21/17,China,Supplychain/ logistics,"Co-Energy Finance, Grandland"
Rocket Lab,$1 ,3/21/17,USA,SpaceTech,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners"
Tongdun Technology,$1 ,10/10/17,China,Cybersecurity,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Supreme,$1 ,10/9/17,USA,Clothing & Accessories,The Carlyle Group
Face++ (Megvii),$1 ,10/31/17,China,AI / Facial Recognition,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
XiaoZhu,$1 ,11/1/17,China,eCommerce/Marketplace,"Morningside Ventures, Capital Today, JOY Capital"
Ginkgo BioWorks,$1 ,12/14/17,USA,Biotechnology,"Y Combinator, Data Collective, MassVentures"
Canva,$1 ,1/8/18,Australia,Collaboration & Project Management,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
OrCam Technologies,$1 ,2/21/18,Israel,Consumer Electronics,"Intel Capital, Aviv Venture Capital"
Lalamove,$1 ,2/21/18,Hong Kong,Consumer Electronics,"MindWorks Ventures, Shunwei Capital Partners, 	Xiang He Capital"
17zuoye,$1 ,3/7/18,China,EdTech,"DST Global, Temasek Holdings"
Ding Xiang Yuan,$1 ,4/10/18,China,Digital Health,"Tencent Holdings, DCM Ventures"
Soundhound,$1 ,5/3/18,USA,Music,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
Huike Group (Uniquedu Corporation),$1 ,5/24/18,China,HR Tech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co."
JOLLY Information Technology,$1 ,5/29/18,China,ecommerce,"Legend Capital, CDH Investments, Sequoia Capital China"
Bolt,$1 ,5/30/18,Estonia,On-demand,"Didi Chuxing, Diamler, TMT Investments"
New Dada,$1 ,12/31/15,China,Supply Chain Tech,"DST Global, Sequoia Capital China"
luckin coffee,$2.90 ,6/13/18,China,Food & Beverage,"JOY Capital, Lu Zhengyao"
PolicyBazaar,$1 ,6/25/18,India,Fintech,"Info Edge, Softbank Capital"
Celonis,$1 ,6/26/18,Germany,BI & Analytics,"Accel, 83North"
9f Group,$1 ,4/14/15,China,Fintech,"China Cinda Asset Management, IDG Capital"
OutSystems,$1 ,6/5/18,Portugal,DevOps,"KKR, ES Ventures, North Bridge Growth Equity"
MediaMath,$1 ,7/10/18,USA,AdTech,"Silicon Valley Bank, QED Investors, European Founders Fund"
About You,$1 ,7/19/18,Germany,eCommerce,"German Media Pool, Seven Venture Capital"
Revolution Precrafted,$1 ,10/23/17,Philippines,Construction Tech,"K2 Global, 500 Startups"
Klook,$1 ,8/7/18,Hong Kong,Travel Tech,"Sequoia Capital China, Goldman Sachs, Matrix Partners China"
GoodRx,$1 ,8/6/18,USA,Travel Tech,"Silver Lake Partners, SV Angel, Upfront Ventures"
Bukalapak,$1 ,11/16/17,Indonesia,eCommerce,"500 Startups, Batavia Incubator, Emtek Group"
Root Insurance,$1 ,8/22/18,USA,InsurTech,"Tiger Global Management, Ribbit Capital, Redpoint Ventures"
Cohesity,$1 ,6/11/18,USA,Data Storage,"SoftBank Group, Sequoia Capital, Wing Venture Capital"
Shansong Express (FlashEx),$1 ,8/27/18,China,Supply Chain & Logistics,"Prometheus Capital, Matrix Partners China, JD Capital Management"
Udaan,$1 ,9/3/18,India,e-commerce,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Rappi,$1 ,8/31/18,Colombia,On-demand,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
Xinyang Technology (SoYoung),$1 ,9/4/18,China,e-commerce,"Orchid Asia Group Management, Russia-China Investment Fund, Matrix Partners China"
Roblox,$1 ,9/4/18,USA,Gaming,"Atlos Ventures, Index Ventures, First Round Capital"
Aijia Life,$1 ,9/17/18,China,Construction Tech,"Tiantu Capital, Fortune Capital, Zhenghedao Fund"
Nxin (农信互联),$1 ,9/18/18,China,Ag Tech,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
WalkMe,$1 ,9/20/18,USA,Sales Tech,"Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital"
Convoy,$1 ,9/21/18,USA,Supply Chain,"Greylock Partners, capitalG, Y Combinator"
Zip Recruiter,$1 ,10/4/18,USA,HR Tech,"Basepoint Ventures,Industry Ventures, and Institutional Venture Partners"
Medlinker,$1 ,7/31/18,China,Digital health,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Momenta,$1 ,10/17/18,China,Auto Tech,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
TripActions,$1 ,11/8/18,USA,Travel Tech,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
Netskope,$1 ,11/13/18,USA,Cybersecurity,"Lightspeed Venture Partners, Social Capital, Accel"
Sweetgreen,$1 ,11/13/18,USA,Food & Beverage,"Red Sea Ventures, Fidelity Investments, Revolution"
Airtable,$1.10 ,11/15/18,USA,Internet Software & Services,"Caffeinated Capital, CRV, Founder Collective"
LinkDoc Technology,$1 ,7/5/18,China,Digital Health,"China Investment Corporation, New Enterprise Associates"
JFrog,$1 ,10/4/18,USA,DevOps,"Gemini Israel Ventures, VMware, Battery Ventures"
TalkDesk,$1 ,10/3/18,USA,SalesTech,"DJF, Salesforce Ventures, Storm Ventures"
Geek+,$1 ,11/21/18,China,Robotics,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
Pat McGrath Labs,$1 ,7/13/18,USA,e-commerce,"One Luxury Group, Eurazeo"
Seismic,$1 ,12/18/18,USA,Sales Tech,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
iFood,$1 ,11/13/18,Brazil,On Demand,"Movile, Just Eat, Naspers"
Omio,$1 ,10/23/18,Germany,Travel Tech,"Lakestar, Battery Ventures, New Enterprise Associates"
Collibra,$1 ,1/29/19,USA,Regtech / AI,"Index Ventures, Battery Ventures, ICONIQ Capital"
Hims,$1 ,1/29/19,USA,Consumer Products & Services,"Forerunner Ventures, Thrive Capital, Redpoint Ventures"
Zhangmen,$1 ,12/26/17,USA,EdTech,"Shunwei Capital Partners, QingSong Fund, Warburg Pincus"
Calm,$1 ,2/6/19,USA,Health & Wellness,"Insight Venture Partners, TPG Growth, Sound Ventures"
Health Catalyst,$1 ,2/7/19,USA,Digital Health,"Sequoia Capital, Kaiser Permanente Ventures, Norwest Venture Partners"
58 Daojia,$1 ,2/18/16,China,Internet Software & Services,"KKR, Alibaba Group, Ping An Insurance"
LinkSure Network,$1 ,1/1/15,China,Internet Software & Services,N/A
Unisound,$1 ,7/19/18,China,"Scientific, Engineering Software","Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures"
Yidian Zixun,$1 ,10/17/17,China,Digital Media,"Phoenix New Media, Tianjin Haihe Industry Fund"
Tresata,$1 ,10/10/18,USA,BI & Analytics,GCP Capital Partners
10X Genomics,$1 ,1/7/19,USA,Genomics,"Fidelity Investments, Paladin Capital Group, Meritech Capital Partners"
Yanolja,$1 ,2/16/19,South Korea,Travel Tech,"SBI Investment Korea, Partners Investment, GIC"
Rent the Runway,$1 ,3/21/19,USA,eCommerce,"Bain Capital Ventures, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
Vlocity,$1 ,3/26/19,USA,Cloud Computing,"Accenture, Salesforce Ventures, Sutter Hill Ventures"
Airwallex,$1 ,3/25/19,Australia,Fintech,"DST Global, Sequoia Capital China, Tencent Holdings"
Casper,$1.10 ,3/27/19,USA,eCommerce / D2C,"Norwest Venture Partners, New Enterprise Associates, Lerer Hippeau Ventures"
Bill.com,$1 ,4/2/19,USA,Fintech,"August Capital, DCM Ventures, Emergence Capital Partners"
Liquid,$1 ,4/3/19,USA,Fintech,"JAFCO Co, Bitmain Technologies, IDG Capital"
Red Ventures,$1 ,1/7/15,USA,Business Products & Services,"Silver Lake Partners, General Atlantic"
Sila Nanotechnologies,$1 ,4/16/19,USA,Energy Storage,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Dream11,$1 ,4/9/19,India,Sports/Gaming,"Kaalari Capital, Tencent Holdings, Steadview Capital"
Coursera,$1 ,4/25/19,USA,Edtech,"New Enterprise Associates, Kleiner Perkins Caufield & Byers, GSV Capital, Learn Capital"
Poizon,$1 ,4/29/19,China,eCommerce/Marketplace,"DST Global, Sequoia Capital China, Gaorong Capital"
