Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
"Credit
	  Karma",$3.50 ,9/29/14,USA,Fintech,"Felicis Ventures, SV Angel,
	  Founders Fund"
Snowflake Computing,$3.95 ,1/25/18,USA,Internet Software & Services,"Redpoint Ventures,Iconiq Capital, Madrona Venture Group"
Indigo Agriculture,$3.50 ,9/26/17,USA,Biotech,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Youxia Motors,$3.35 ,4/2/18,China,Automobile,"China Environmental Protection Industry, China Fortune Ocean"
Cloudwalk,$3.32 ,10/8/18,China,AI,"Oriza Holdings, Guangdong Technology Financial Group"
Rubrik,$3.30 ,4/28/17,USA,Internet Software & Services,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
The Hut Group,$3.25 ,8/13/17,UK,eCommerce,"KKR, Old Mutual Global Investors, Artemis Investment Management"
"Oscar
	  Health Insurance Co.",$3.20 ,4/20/15,USA,Healthcare,"BoxGroup, Formation8,
	  Khosla Ventures"
Zoox,$3.20 ,5/27/16,USA,Auto Tech,"AID Partners, Draper Fisher Jurvetson"
SmileDirectClub,$3.20 ,10/10/18,USA,Health & Wellnes,"Clayton Dubilier & Rice, Kleiner Perkins Caufield & Byers, Spark Capital"
Flexport,$3.20 ,4/30/18,USA,Internet Software & Services,"Bloomberg Beta, Founders Fund, First Round Capital"
Ziroom,$3.10 ,1/17/18,China,Real Estate Tech,"Sequoia Capital China, Warburg Pincus, General Catalyst"
Kuaishou,$3 ,1/1/15,China,Social,"Morningside Venture Capital, Sequoia Capital, Baidu"
VANCL,$3 ,12/14/10,China,eCommerce/Marketplace,"Ceyuan Ventures, QiMing
	  Venture Partners, Temasek Holdings"
ContextLogic (dba. Wish),$3 ,5/18/15,USA,eCommerce/Marketplace,"Founders Fund, GGV Capital, Digital Sky Technologies"
BGL Group,$3 ,11/24/17,UK,Fintech,CPP Investment Board
Circle Internet Financial,$3 ,5/15/18,USA,Fintech,"General Catalyst, Digital Currency Group, Accel"
Xiaohongshu,$3 ,3/31/16,China,eCommerce/Marketplace,"GGV Capital, ZhenFund, Tencent"
Unity Technologies,$3 ,7/13/16,USA,Gaming,"Sequoia Capital, iGlobe Partners, DFJ Growth"
CrowdStrike,$3 ,5/17/17,USA,Cybersecurity,"Warbug Pincus, capitalG, Accel Partners"
Vipkid,$3 ,8/23/17,China,Edtech,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
SouChe Holdings,$3 ,11/1/17,China,AutoTech,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
Niantic,$4 ,11/24/17,USA,AR/VR,"Nintendo, Google, Pokemon Company International, Spark Capital"
Yuanfudao,$3 ,5/31/17,China,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital"
Horizon Robotics,$3 ,2/27/17,China,AI/Robotics,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
Shanghai Henlius,$2.90 ,7/19/18,China,Real Estate,"Green Tomato, Fuguo Asset Management, Jacobson Pharma"
Affirm,$2.90 ,12/11/17,USA,Fintech,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund"
ESR Cayman (e-Shang Redwood),$2.80 ,7/26/17,China,Drug Development,"SK Group, GF Investments, China Minsheng Banking Corp."
Meicai,$2.80 ,1/11/18,China,Food & Grocery,"Tiger Global Management, Blue Lake Capital, ZhenFund"
N26,$2.70 ,1/10/19,Germany,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Toast,$2.70 ,7/10/18,USA,Restaurant Tech,"Bessemer Venture Partners, Tiger Global Management, Google Ventures"
Databricks,$2.70 ,2/5/19,USA,Internet Software & Services,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Plaid Technologies,$2.65 ,12/11/18,USA,Fintech,"New Enterprise Associates, Spark Capital,"
Automation Anywhere,$2.60 ,7/2/18,USA,Robotics,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Woowa Brothers,$2.60 ,12/20/18,South Korea,On Demand,"Hillhouse Capital Management, Altos Ventures, Sequoia Capital"
Klarna,$3.50 ,12/12/11,Sweden,Fintech,"Institutional Venture
	  Partners, Sequoia Capital, General Atlantic"
VistaJet,$2.50 ,8/23/17,Malta,On-demand,Rhone Capital
Zhihu,$2.50 ,1/12/17,China,Internet Software & Services,"Tencent Holdings, Sinovation Ventures, Qiming Venture Partners"
Confluent,$2.50 ,1/23/19,USA,Internet Software & Services,"Benchmark, Sequoia Capital, Index Ventures"
GRAIL,$2.46 ,3/1/17,USA,Genomics,"Kleiner Perkins Caufield & Byers, Amazon, Merck & Co."
Lime,$2.40 ,7/9/18,USA,Travel,"Andreessen Horowitz, Coatue Management, Uber"
YITU Technology,$2.37 ,3/8/18,China,Computer Vision,"Sequoia Capital China, Banyan Capital"
Dadi Cinema,$2.30 ,5/11/16,China,Entertainment,Alibaba Pictures Group
Uptake,$2.30 ,10/27/15,USA,Big Data,"Revolution, New Enterprise Associates, Caterpillar"
ACORN OakNorth,$2.30 ,10/12/17,UK,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Zume Pizza,$2.25 ,11/1/18,USA,On Demand,"Softbank Group, AME Cloud Ventures, SignalFire"
NuCom Group,$2.20 ,2/22/18,Germany,Management & Strategy Consulting,General Atlantic
MINISO Life,$2.20 ,9/30/18,China,Retail,"Hillhouse Capital Management, and Tencent Holdings"
"Zomato
	  Media",$2.18 ,4/10/15,India,Social,"Sequoia Capital, VY Capital"
benevolent.ai,$2.10 ,6/2/15,UK,Healthcare,Woodford Investment Management
ReNew Power Ventures,$2 ,2/14/17,India,Energy & Utilities,"Goldman Sachs, JERA, Asian Development Bank"
Traveloka,$2 ,7/28/17,Indonesia,TravelTech,"Global Founders Capital, East Ventures, Expedia Inc."
Huimin,$2 ,9/5/16,China,On-Demand,"Zheshang Venture Capital, GP Capital, Western Capital Management"
Avant,$2 ,9/30/15,USA,Fintech,"RRE Ventures, Tiger Global, August Capital"
"Trendy
	  Group International",$2 ,2/13/12,China,Clothing & Accessories,L Capital Partners
Cambricon,$2 ,8/18/17,China,Chips & Semiconductors,"Alibaba Entrepreneurs Fund, CAS Investment Management Co., Lenovo Ventures Group"
Preferred Networks,$2 ,5/17/18,Japan,Internet Software & Services,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Improbable,$2 ,5/12/17,UK,AR/VR,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
