,KS,FDR,KS rank,FDR rank,Average rank
name-dob_lag1_lag30_avg,0.1605096515889901,0.1890997736374717,214.0,222.0,218.0
addr-homephone_lag1_lag30_avg,0.15972709283620734,0.18744558593069824,213.0,220.5,216.75
ssn_lag1_lag30_avg,0.1597142404179118,0.18744558593069824,212.0,220.5,216.25
ssn-name-dob_lag1_lag30_avg,0.1589904789453278,0.1857913982239248,211.0,216.0,213.5
ssn-firstname_lag1_lag30_avg,0.15877022704944108,0.18666202333275292,210.0,218.5,214.25
ssn-lastname_lag1_lag30_avg,0.15876895074154457,0.18640083580010447,209.0,217.0,213.0
ssn-name_lag1_lag30_avg,0.15774051903968586,0.18666202333275292,208.0,218.5,213.25
dob_lag3_count,0.15771749016050052,0.1702072087759011,207.0,193.0,200.0
addr-homephone_lag1_count,0.1576269054131818,0.18422427302803412,206.0,215.0,210.5
name-dob_lag1_lag14_avg,0.1507330215386258,0.17795577224447154,205.0,210.0,207.5
addr-homephone_lag1_lag14_avg,0.15072983132447737,0.17873933484241686,204.0,212.0,208.0
ssn-dob_lag1_lag14_avg,0.1500965079226996,0.17960995995124499,203.0,213.0,208.0
ssn_lag1_lag14_avg,0.1496559092356673,0.1778687097335887,202.0,209.0,205.5
homephone_lag0_count,0.14914323971075993,0.14957339369667422,201.0,180.0,190.5
ssn-firstname_lag1_lag14_avg,0.1490249564374647,0.17699808462476058,200.0,206.0,203.0
ssn-name-dob_lag1_lag14_avg,0.1488352410358355,0.17551802193975274,199.0,203.5,201.25
name-dob_lag1_count,0.14875108738688148,0.17560508445063555,198.0,205.0,201.5
ssn_lag1_count,0.14870441114254984,0.17543095942886994,197.0,201.0,199.0
ssn-firstname_lag1_count,0.14870030864494055,0.17543095942886994,196.0,201.0,198.5
ssn-lastname_lag1_lag14_avg,0.14868691685710556,0.17865227233153405,195.0,211.0,203.0
ssn-name_lag1_count,0.1486196276735402,0.1753438969179871,194.0,198.5,196.25
ssn-lastname_lag1_count,0.14861324613405769,0.1753438969179871,193.0,198.5,195.75
ssn-dob_lag1_count,0.14857823867301245,0.17551802193975274,192.0,203.5,197.75
ssn-name-dob_lag1_count,0.14850138662530177,0.17543095942886994,191.0,201.0,196.0
ssn-name_lag1_lag14_avg,0.14829116984748353,0.17717220964652622,190.0,207.0,198.5
name_lag1_count,0.148063618572725,0.17734633466829183,189.0,208.0,198.5
name_lag1_lag30_avg,0.14278943942354816,0.13529514191189274,188.0,177.0,182.5
dob_lag1_count,0.14262232353894921,0.1507922688490336,187.0,181.0,184.0
name_lag1_lag14_avg,0.14151637441138187,0.11144001393000175,186.0,157.0,171.5
addr_lag1_lag3_avg,0.13865457186367175,0.16620233327529166,185.0,191.0,188.0
address_lag1_lag3_avg,0.13852812693140049,0.16611527076440885,184.0,190.0,187.0
addr-homephone_lag1_lag7_avg,0.12801188923364018,0.15558070694758838,183.0,189.0,186.0
name-dob_lag1_lag7_avg,0.12539253807199455,0.1539265192408149,182.0,188.0,185.0
ssn-dob_lag1_lag7_avg,0.12436948517564156,0.15296883162110395,181.0,186.0,183.5
ssn_lag1_lag7_avg,0.1242695691352775,0.15305589413198675,180.0,187.0,183.5
ssn-lastname_lag1_lag7_avg,0.12388986698047084,0.15279470659933833,179.0,183.5,181.25
ssn-firstname_lag1_lag7_avg,0.12387838020940219,0.15279470659933833,178.0,183.5,180.75
ssn-name-dob_lag1_lag7_avg,0.1237791922179096,0.15244645655580707,177.0,182.0,179.5
ssn-name_lag1_lag7_avg,0.12364399514258059,0.15288176911022114,176.0,185.0,180.5
name_lag1_lag7_avg,0.12134984892196975,0.1489639561204945,175.0,179.0,177.0
dob_lag1_lag14_avg,0.1193894637722937,0.054239944279993034,174.0,61.0,117.5
dob_lag1_lag7_avg,0.11922135715452348,0.05572000696500087,173.0,63.0,118.0
addr-homephone_lag0_count,0.11596307154778274,0.1439143304892913,172.0,178.0,175.0
