,mean,std,min,max,,Fraud Risk,
v_nds_3,0.333333333,1.09202E-12,0.333333333,0.333333333,,,
v_nds_7,0.142857143,2.42584E-13,0.142857143,0.142857143,,,
v_nds_14,0.071428571,1.21292E-13,0.071428571,0.071428571,,,
v_nds_30,0.033333333,3.16761E-13,0.033333333,0.033333333,,,
ndobssn_diff,0,0,0,0,,,
napps_snd_1,1.202191,0.805300222,1,74,,,
napps_snd_3,1.202191,0.805300222,1,74,,,
napps_snd_7,1.202191,0.805300222,1,74,,,
napps_snd_14,1.202191,0.805300222,1,74,,,
napps_snd_30,1.202191,0.805300222,1,74,,,
v_snd_3,0.333333333,1.09202E-12,0.333333333,0.333333333,,,
v_snd_7,0.142857143,2.42584E-13,0.142857143,0.142857143,,,
v_snd_14,0.071428571,1.21292E-13,0.071428571,0.071428571,,,
v_snd_30,0.033333333,3.16761E-13,0.033333333,0.033333333,,,
ssnndob_diff,0,0,0,0,,,
napps_fns_1,1.472144,5.257734463,1,313,,,
napps_fns_3,1.472144,5.257734463,1,313,,,
napps_fns_7,1.472144,5.257734463,1,313,,,
napps_fns_14,1.472144,5.257734463,1,313,,,
napps_fns_30,1.472144,5.257734463,1,313,,,
v_fns_3,0.333333333,1.09202E-12,0.333333333,0.333333333,,,
v_fns_7,0.142857143,2.42584E-13,0.142857143,0.142857143,,,
v_fns_14,0.071428571,1.21292E-13,0.071428571,0.071428571,,,
v_fns_30,0.033333333,3.16761E-13,0.033333333,0.033333333,,,
fnssn_diff,0,0,0,0,,,
napps_lns_1,1.340946,3.008419664,1,164,,,
napps_lns_3,1.340946,3.008419664,1,164,,,
napps_lns_7,1.340946,3.008419664,1,164,,,
napps_lns_14,1.340946,3.008419664,1,164,,,
napps_lns_30,1.340946,3.008419664,1,164,,,
v_lns_3,0.333333333,1.09202E-12,0.333333333,0.333333333,,,
v_lns_7,0.142857143,2.42584E-13,0.142857143,0.142857143,,,
v_lns_14,0.071428571,1.21292E-13,0.071428571,0.071428571,,,
v_lns_30,0.033333333,3.16761E-13,0.033333333,0.033333333,,,
lastnamessn_diff,0,0,0,0,,,
fraud_label,0.014393,0.11910439,0,1,,,
risk table,0.014393,0.00056036,0.013602,0.015285,,,
